dataset,model,noise,noise_level_perc,prior_lambda,true_val_MSE_1,true_val_MSE_2,true_val_MSE_3,true_val_MSE_4,true_val_MSE_5,true_val_R^2,sparse_out_deg_cor,opt_avg_degree,opt_TN,opt_TP,causal_AUC
SIM690,phoenix,0.5,20,0.99,7.34E-03,7.42E-03,6.93E-03,6.62E-03,6.70E-03,0.945,0.04,205,0.728,0.500,0.529105104
SIM690,ootb_sigmoid,0,0,1,3.88E-03,3.84E-03,4.38E-03,3.28E-03,4.00E-03,0.9145,,,,,
SIM690,ootb_sigmoid,0.1,20,1,4.04E-03,3.73E-03,3.52E-03,3.48E-03,3.66E-03,0.915,,,,,
SIM690,ootb_sigmoid,0.4,20,1,3.82E-03,4.81E-03,4.38E-03,4.41E-03,4.76E-03,0.915,,,,,
SIM690,ootb_tanh,0,0,1,2.55E-03,3.80E-03,2.31E-03,4.11E-03,3.68E-03,0.945,0.02,144,0.836,0.519,0.693612
SIM690,ootb_tanh,0.025,5,1,3.34E-03,3.06E-03,2.56E-03,2.52E-03,3.17E-03,0.95,0.03,109,0.987,0.223,0.598671218
SIM690,ootb_tanh,0.05,10,1,3.88E-03,3.08E-03,3.16E-03,3.26E-03,3.92E-03,0.913,0.04,130,0.812,0.396,0.579921894
SIM690,ootb_tanh,0.1,20,1,2.84E-03,3.26E-03,3.92E-03,2.81E-03,2.96E-03,0.94,0.12,138,0.800,0.353,0.55724
SIM690,ootb_tanh,0.2,5,1,4.61E-03,4.65E-03,4.47E-03,4.39E-03,4.63E-03,0.95,0.00,2,0.998,0.010,0.45004611
SIM690,ootb_tanh,0.4,10,1,6.12E-03,5.65E-03,5.46E-03,5.76E-03,6.03E-03,0.913,0.00,689,0.001,1.000,0.437005729
SIM690,ootb_tanh,0.5,20,1,7.31E-03,6.88E-03,7.47E-03,6.54E-03,7.41E-03,0.94,0.02,4,0.994,0.010,0.459787914
SIM690,ootb_relu,0,0,1,3.57E-03,3.51E-03,3.79E-03,3.65E-03,3.81E-03,0.923,,,,,
SIM690,ootb_relu,0.1,20,1,3.64E-03,3.79E-03,3.70E-03,3.75E-03,3.89E-03,0.923,,,,,
SIM690,ootb_relu,0.4,20,1,4.59E-03,4.63E-03,4.36E-03,4.06E-03,4.21E-03,0.923,,,,,
