"node","eqn"
"IME1","(((((1 - 1 * fAct(TUP1, 0.540487345028669, 1.68647800832521)) + (1 * fAct(IME4, 0.451652590371668, 1.19190882906783) * 1 * fAct(RIM101, 0.417316232295707, 1.42135561252246)) - (1 - 1 * fAct(TUP1, 0.540487345028669, 1.68647800832521)) * (1 * fAct(IME4, 0.451652590371668, 1.19190882906783) * 1 * fAct(RIM101, 0.417316232295707, 1.42135561252246))) + ((1 - 1 * fAct(RME1, 0.546164889540523, 1.06945481856819)) + (1 - 1 * fAct(IME1_UME6, 0.59304076936096, 1.12613133041887)) - (1 - 1 * fAct(RME1, 0.546164889540523, 1.06945481856819)) * (1 - 1 * fAct(IME1_UME6, 0.59304076936096, 1.12613133041887))) - ((1 - 1 * fAct(TUP1, 0.540487345028669, 1.68647800832521)) + (1 * fAct(IME4, 0.451652590371668, 1.19190882906783) * 1 * fAct(RIM101, 0.417316232295707, 1.42135561252246)) - (1 - 1 * fAct(TUP1, 0.540487345028669, 1.68647800832521)) * (1 * fAct(IME4, 0.451652590371668, 1.19190882906783) * 1 * fAct(RIM101, 0.417316232295707, 1.42135561252246))) * ((1 - 1 * fAct(RME1, 0.546164889540523, 1.06945481856819)) + (1 - 1 * fAct(IME1_UME6, 0.59304076936096, 1.12613133041887)) - (1 - 1 * fAct(RME1, 0.546164889540523, 1.06945481856819)) * (1 - 1 * fAct(IME1_UME6, 0.59304076936096, 1.12613133041887))))) * 1 - 1 * IME1) / 1"
"IME4","input gene"
"INO2","(((1 * fAct(UME6, 0.426668062759563, 1.4050674089021) * 1 * fAct(INO2_INO4, 0.516626948211342, 1.55439187968383))) * 1 - 1 * INO2) / 1"
"INO2_INO4","((1 * fAct(UME6, 0.522163438145071, 1.3172841089475)) * 1 - 1 * INO2_INO4) / 1"
"INO4","input gene"
"IXR1","input gene"
"KAR4","input gene"
"LEU3","((1 * fAct(GCN4, 0.53658000654541, 1.65234513044823)) * 1 - 1 * LEU3) / 1"
"LYS14","input gene"
"MAC1","input gene"
"MAL33","input gene"
"MBP1_SWI6","input gene"
"MCM1","((1 * fAct(SNF2_SWI1, 0.453987467382103, 1.23233034366043)) * 1 - 1 * MCM1) / 1"
"MET4","((1 * fAct(GCN4, 0.49700275035575, 1.03096271915827)) * 1 - 1 * MET4) / 1"
"MIG1","input gene"
"MIG2","input gene"
"MOT3","input gene"
"MSN1","input gene"
"MSN2","input gene"
"MSN4","input gene"
"MTH1","((1 * fAct(GAL4, 0.41793830152601, 1.58138563450659)) * 1 - 1 * MTH1) / 1"
"NDT80","input gene"
"NRG1","input gene"
"OAF1","((1 * fAct(OAF1_PIP2, 0.589490551594645, 1.18993409058079)) * 1 - 1 * OAF1) / 1"
"OAF1_PIP2","input gene"
"PDR1","input gene"
"PDR3","((1 * fAct(PDR1, 0.519838058296591, 1.39470152391121)) * 1 - 1 * PDR3) / 1"
"PHD1","input gene"
"PHO2","input gene"
"PHO23","input gene"
"PHO4","input gene"
"POP2","input gene"
"PPR1","input gene"
"RAP1","((1 * fAct(REB1, 0.475687276152894, 1.30125810025493)) * 1 - 1 * RAP1) / 1"
"RCS1","input gene"
"REB1","input gene"
"RFX1","input gene"
"RGT1","input gene"
"RIM101","input gene"
"RME1","(((((1 - 1 * fAct(UME6, 0.537925590435043, 1.12764636073727)) + ((1 * fAct(ACE2, 0.412072263518348, 1.50323569116881) * 1 * fAct(SIN3, 0.578547521540895, 1.44350729186321)) * 1 * fAct(SWI5, 0.474136160640046, 1.46098711704602)) - (1 - 1 * fAct(UME6, 0.537925590435043, 1.12764636073727)) * ((1 * fAct(ACE2, 0.412072263518348, 1.50323569116881) * 1 * fAct(SIN3, 0.578547521540895, 1.44350729186321)) * 1 * fAct(SWI5, 0.474136160640046, 1.46098711704602))) + (1 - 1 * fAct(TUP1, 0.462418269785121, 1.03549913741415)) - ((1 - 1 * fAct(UME6, 0.537925590435043, 1.12764636073727)) + ((1 * fAct(ACE2, 0.412072263518348, 1.50323569116881) * 1 * fAct(SIN3, 0.578547521540895, 1.44350729186321)) * 1 * fAct(SWI5, 0.474136160640046, 1.46098711704602)) - (1 - 1 * fAct(UME6, 0.537925590435043, 1.12764636073727)) * ((1 * fAct(ACE2, 0.412072263518348, 1.50323569116881) * 1 * fAct(SIN3, 0.578547521540895, 1.44350729186321)) * 1 * fAct(SWI5, 0.474136160640046, 1.46098711704602))) * (1 - 1 * fAct(TUP1, 0.462418269785121, 1.03549913741415)))) * 1 - 1 * RME1) / 1"
"ROX1","((((1 - 1 * fAct(TUP1, 0.468155268905684, 1.40368952158606)) + 1 * fAct(HAP1, 0.520927864126861, 1.69142048254376) - (1 - 1 * fAct(TUP1, 0.468155268905684, 1.40368952158606)) * 1 * fAct(HAP1, 0.520927864126861, 1.69142048254376))) * 1 - 1 * ROX1) / 1"
"RPH1","input gene"
"RPN4","input gene"
"RTG1","input gene"
"RTG1_RTG3","input gene"
"RTG2","input gene"
"RTG3","input gene"
"SDS3","input gene"
"SIN3","((1 * fAct(REB1, 0.524575552204624, 1.01250624848995)) * 1 - 1 * SIN3) / 1"
"SIP4","input gene"
"SKN7","input gene"
"SKO1","input gene"
"SNF2","input gene"
"SNF5","input gene"
"SNF6","input gene"
"SPT16","input gene"
"SPT21","input gene"
"SPT4","input gene"
"SPT5","input gene"
"SPT6","input gene"
"SRB7","input gene"
"SSN6","input gene"
"STE12","input gene"
"STP1","input gene"
"SUM1","input gene"
"SWI1","((1 * fAct(SIN3, 0.437571885902435, 1.61670492926612)) * 1 - 1 * SWI1) / 1"
"SWI3","input gene"
"SWI4","(((1 * fAct(MBP1_SWI6, 0.400303439050913, 1.10782842150424) * 1 * fAct(SPT16, 0.462531999032944, 1.67361503560795))) * 1 - 1 * SWI4) / 1"
"SWI4_SWI6","(((1 * fAct(MBP1_SWI6, 0.514543105149642, 1.03999941385351) * 1 * fAct(SPT16, 0.591541730519384, 1.62923331674887))) * 1 - 1 * SWI4_SWI6) / 1"
"SWI5","(((1 * fAct(MCM1, 0.569312756694853, 1.19324479185743) * 1 * fAct(REB1, 0.526855677785352, 1.63864418707555))) * 1 - 1 * SWI5) / 1"
"TAF90","input gene"
"TEC1","input gene"
"THI2","input gene"
"TUP1","input gene"
"UGA3","input gene"
"UME6","input gene"
"XBP1","((1 * fAct(PDR1, 0.569677127432078, 1.59017011661781)) * 1 - 1 * XBP1) / 1"
"YAP1","input gene"
"YAP6","input gene"
"YRR1","((1 * fAct(PDR1, 0.585448098788038, 1.29905906009721)) * 1 - 1 * YRR1) / 1"
"ZAP1","input gene"
"ARG80_ARG81","input gene"
"BAS1_PHO2","input gene"
"DAL81_DAL82","input gene"
"GCR1_GCR2","input gene"
"HAP2_3_4_5","(((1 - 1 * fAct(MIG1, 0.41670856573619, 1.1904643306206))) * 1 - 1 * HAP2_3_4_5) / 1"
"HAP2_HAP4","(((1 - 1 * fAct(MIG1, 0.562548717437312, 1.59497080463683))) * 1 - 1 * HAP2_HAP4) / 1"
"HDA1_TUP1","input gene"
"IME1_UME6","((((1 * fAct(RIM101, 0.406356453429908, 1.21623556289123) * 1 * fAct(IME4, 0.409149253228679, 1.22648937078658)) * (1 - 1 * fAct(RME1, 0.472348313312978, 1.6654224499641)))) * 1 - 1 * IME1_UME6) / 1"
"SNF2_SWI1","((1 * fAct(SIN3, 0.504641972109675, 1.52856749933679)) * 1 - 1 * SNF2_SWI1) / 1"
"SSN6_TUP1","input gene"
"FUS1","((((1 * fAct(STE12, 0.405600836221129, 1.60346627431223) * 1 * fAct(SIN3, 0.489807673031464, 1.5063880421035)) * (((1 - 1 * fAct(A1_ALPHA2, 0.442042898340151, 1.40250487269135)) + (1 - 1 * fAct(CDC36, 0.464134524948895, 1.32046657302883)) - (1 - 1 * fAct(A1_ALPHA2, 0.442042898340151, 1.40250487269135)) * (1 - 1 * fAct(CDC36, 0.464134524948895, 1.32046657302883))) + (1 - 1 * fAct(CDC39, 0.599698005383834, 1.4366693852609)) - ((1 - 1 * fAct(A1_ALPHA2, 0.442042898340151, 1.40250487269135)) + (1 - 1 * fAct(CDC36, 0.464134524948895, 1.32046657302883)) - (1 - 1 * fAct(A1_ALPHA2, 0.442042898340151, 1.40250487269135)) * (1 - 1 * fAct(CDC36, 0.464134524948895, 1.32046657302883))) * (1 - 1 * fAct(CDC39, 0.599698005383834, 1.4366693852609))))) * 1 - 1 * FUS1) / 1"
"ACS1","((((1 - 1 * fAct(UME6, 0.486553391627967, 1.09941262116889)) + ((1 * fAct(ABF1, 0.44238119572401, 1.48203806626843) * 1 * fAct(ADR1, 0.554562456533313, 1.36873121701181)) * 1 * fAct(CAT8, 0.415077523700893, 1.18476327410433)) - (1 - 1 * fAct(UME6, 0.486553391627967, 1.09941262116889)) * ((1 * fAct(ABF1, 0.44238119572401, 1.48203806626843) * 1 * fAct(ADR1, 0.554562456533313, 1.36873121701181)) * 1 * fAct(CAT8, 0.415077523700893, 1.18476327410433)))) * 1 - 1 * ACS1) / 1"
"ADH1","((((1 * fAct(RAP1, 0.552882013563067, 1.21042157621123) * (((1 * fAct(ABF1, 0.58540108143352, 1.49517834237777) * 1 * fAct(ADR1, 0.547922874148935, 1.58304276879644)) * 1 * fAct(GCR1, 0.549613353284076, 1.4830420362833)) * 1 * fAct(SNF6, 0.484060700051486, 1.26075119080488))) * ((((1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) + (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201)) - (1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) * (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201))) + (1 - 1 * fAct(CCR4, 0.519570787716657, 1.56671873165295)) - ((1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) + (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201)) - (1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) * (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201))) * (1 - 1 * fAct(CCR4, 0.519570787716657, 1.56671873165295))) + (1 - 1 * fAct(POP2, 0.466979351872578, 1.1640924601024)) - (((1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) + (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201)) - (1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) * (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201))) + (1 - 1 * fAct(CCR4, 0.519570787716657, 1.56671873165295)) - ((1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) + (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201)) - (1 - 1 * fAct(CAF16, 0.598344928026199, 1.0130597498198)) * (1 - 1 * fAct(CAF4, 0.584800392854959, 1.46896583817201))) * (1 - 1 * fAct(CCR4, 0.519570787716657, 1.56671873165295))) * (1 - 1 * fAct(POP2, 0.466979351872578, 1.1640924601024))))) * 1 - 1 * ADH1) / 1"
"CDC19","((((1 - 1 * fAct(UME6, 0.482114350842312, 1.25347045746632)) + (((1 * fAct(ABF1, 0.536809344263747, 1.21488650269341) * 1 * fAct(RAP1, 0.407898698933423, 1.06760267529869)) * 1 * fAct(REB1, 0.462400355748832, 1.31753935482353)) * 1 * fAct(GCR1_GCR2, 0.546831935085356, 1.65704035642557)) - (1 - 1 * fAct(UME6, 0.482114350842312, 1.25347045746632)) * (((1 * fAct(ABF1, 0.536809344263747, 1.21488650269341) * 1 * fAct(RAP1, 0.407898698933423, 1.06760267529869)) * 1 * fAct(REB1, 0.462400355748832, 1.31753935482353)) * 1 * fAct(GCR1_GCR2, 0.546831935085356, 1.65704035642557)))) * 1 - 1 * CDC19) / 1"
"COX6","((((1 * fAct(HAP2_3_4_5, 0.542156857717782, 1.68891834002687) * 1 * fAct(ABF1, 0.51464612763375, 1.07792737894459)) * (1 - 1 * fAct(SSN6, 0.516632382152602, 1.19417936421232)))) * 1 - 1 * COX6) / 1"
"DED1","((1 * fAct(ABF1, 0.417100200336427, 1.46263614413561)) * 1 - 1 * DED1) / 1"
"PGK1","(((1 * fAct(RAP1, 0.407558380719274, 1.21438746197615) * (1 * fAct(ABF1, 0.404782355250791, 1.02618917798623) * 1 * fAct(GCR1_GCR2, 0.405034803925082, 1.10117329833796)))) * 1 - 1 * PGK1) / 1"
"POT1","((((1 - 1 * fAct(UME6, 0.598668114794418, 1.0702358346316)) + ((1 * fAct(ABF1, 0.587258468195796, 1.18744307875633) * 1 * fAct(ADR1, 0.515366546623409, 1.25304168016883)) * 1 * fAct(OAF1_PIP2, 0.463257683999836, 1.6123593945778)) - (1 - 1 * fAct(UME6, 0.598668114794418, 1.0702358346316)) * ((1 * fAct(ABF1, 0.587258468195796, 1.18744307875633) * 1 * fAct(ADR1, 0.515366546623409, 1.25304168016883)) * 1 * fAct(OAF1_PIP2, 0.463257683999836, 1.6123593945778)))) * 1 - 1 * POT1) / 1"
"QCR8","((((1 * fAct(HAP2_3_4_5, 0.406396193429828, 1.06925631827442) * 1 * fAct(ABF1, 0.509394067293033, 1.07391752562718)) * (1 - 1 * fAct(CBF1, 0.499697451572865, 1.63814557819394)))) * 1 - 1 * QCR8) / 1"
"RPL4A","((1 * fAct(ABF1, 0.537347386404872, 1.41718826755416)) * 1 - 1 * RPL4A) / 1"
"RPL4B","((1 * fAct(ABF1, 0.570248357066885, 1.16003556674114)) * 1 - 1 * RPL4B) / 1"
"SPR3","(((1 * fAct(ABF1, 0.436974690342322, 1.25955643634545) * (1 - 1 * fAct(SUM1, 0.565364822139964, 1.58384467025055)))) * 1 - 1 * SPR3) / 1"
"TUB2","((1 * fAct(ABF1, 0.552487563760951, 1.45750815489562)) * 1 - 1 * TUB2) / 1"
"CDC6","((((1 * fAct(MBP1_SWI6, 0.518812441872433, 1.47493924160954) * 1 * fAct(SWI5, 0.540804899018258, 1.03896604367066)) * (1 - 1 * fAct(ACE2, 0.467996220523491, 1.19624222994549)))) * 1 - 1 * CDC6) / 1"
"CTS1","(((1 * fAct(SWI5, 0.440348572423682, 1.50363804407651) * ((1 * fAct(ACE2, 0.442150353267789, 1.63214206128847) * 1 * fAct(SNF2, 0.564396070316434, 1.06652871047612)) * 1 * fAct(SWI4_SWI6, 0.506560337496921, 1.05337107290281)))) * 1 - 1 * CTS1) / 1"
"EGT2","(((1 * fAct(SWI5, 0.545441074809059, 1.01474243486766) * 1 * fAct(ACE2, 0.499725376442075, 1.04355656749569))) * 1 - 1 * EGT2) / 1"
"HO","((((1 - 1 * fAct(TUP1, 0.571943957917392, 1.61408004453406)) + (((((((((((1 * fAct(ACE2, 0.425704294908792, 1.34864167516353) * 1 * fAct(CAF16, 0.523631648765877, 1.41133064748021)) * 1 * fAct(CAF4, 0.576144190458581, 1.41817487819353)) * 1 * fAct(PHO2, 0.425947175640613, 1.0421225945605)) * 1 * fAct(SIN3, 0.575509335566312, 1.47516036556102)) * 1 * fAct(SNF5, 0.4328769847285, 1.30913362952881)) * 1 * fAct(SNF6, 0.460036131506786, 1.66572066943161)) * 1 * fAct(SPT16, 0.517622848786414, 1.5994085216173)) * 1 * fAct(SWI3, 0.420763431489468, 1.68064406434773)) * 1 * fAct(SWI4_SWI6, 0.481690812436864, 1.35136062938021)) * 1 * fAct(SWI5, 0.51196651943028, 1.53667894791346)) * 1 * fAct(SNF2_SWI1, 0.543695748969913, 1.34729866950074)) - (1 - 1 * fAct(TUP1, 0.571943957917392, 1.61408004453406)) * (((((((((((1 * fAct(ACE2, 0.425704294908792, 1.34864167516353) * 1 * fAct(CAF16, 0.523631648765877, 1.41133064748021)) * 1 * fAct(CAF4, 0.576144190458581, 1.41817487819353)) * 1 * fAct(PHO2, 0.425947175640613, 1.0421225945605)) * 1 * fAct(SIN3, 0.575509335566312, 1.47516036556102)) * 1 * fAct(SNF5, 0.4328769847285, 1.30913362952881)) * 1 * fAct(SNF6, 0.460036131506786, 1.66572066943161)) * 1 * fAct(SPT16, 0.517622848786414, 1.5994085216173)) * 1 * fAct(SWI3, 0.420763431489468, 1.68064406434773)) * 1 * fAct(SWI4_SWI6, 0.481690812436864, 1.35136062938021)) * 1 * fAct(SWI5, 0.51196651943028, 1.53667894791346)) * 1 * fAct(SNF2_SWI1, 0.543695748969913, 1.34729866950074)))) * 1 - 1 * HO) / 1"
"ADH2","((((1 * fAct(SIN3, 0.469341612141579, 1.05569820100907) * ((((1 * fAct(ADR1, 0.566188144311309, 1.45274406398414) * 1 * fAct(CCR4, 0.451266898820177, 1.16410460451618)) * 1 * fAct(SNF6, 0.500387670472264, 1.06936291982885)) * 1 * fAct(SPT21, 0.541618318390101, 1.69952047157101)) * 1 * fAct(TAF90, 0.470853409450501, 1.01264171298826))) * (1 - 1 * fAct(SPT6, 0.518930864427239, 1.20629140397068)))) * 1 - 1 * ADH2) / 1"
"CTA1","((((1 - 1 * fAct(UME6, 0.544845322147012, 1.30921710329596)) + (1 * fAct(ADR1, 0.596887572668493, 1.51730188010726) * 1 * fAct(OAF1_PIP2, 0.586960475565866, 1.44488431229489)) - (1 - 1 * fAct(UME6, 0.544845322147012, 1.30921710329596)) * (1 * fAct(ADR1, 0.596887572668493, 1.51730188010726) * 1 * fAct(OAF1_PIP2, 0.586960475565866, 1.44488431229489)))) * 1 - 1 * CTA1) / 1"
"FOX2","((((1 - 1 * fAct(UME6, 0.569849342340603, 1.16985144958831)) + (1 * fAct(ADR1, 0.532651200471446, 1.07866065178532) * 1 * fAct(OAF1_PIP2, 0.424216346349567, 1.16312858284684)) - (1 - 1 * fAct(UME6, 0.569849342340603, 1.16985144958831)) * (1 * fAct(ADR1, 0.532651200471446, 1.07866065178532) * 1 * fAct(OAF1_PIP2, 0.424216346349567, 1.16312858284684)))) * 1 - 1 * FOX2) / 1"
"GUT1","(((1 * fAct(INO2_INO4, 0.418272256338969, 1.27430365645327) * 1 * fAct(ADR1, 0.515407217061147, 1.58677152521908))) * 1 - 1 * GUT1) / 1"
"PEX1","((((1 - 1 * fAct(UME6, 0.425786661962047, 1.63167793049943)) + 1 * fAct(ADR1, 0.465204292582348, 1.25162481165258) - (1 - 1 * fAct(UME6, 0.425786661962047, 1.63167793049943)) * 1 * fAct(ADR1, 0.465204292582348, 1.25162481165258))) * 1 - 1 * PEX1) / 1"
"MFALPHA1","((((1 - 1 * fAct(TUP1, 0.539924246026203, 1.1625520912488)) + ((1 * fAct(ALPHA1, 0.462457506032661, 1.11583954026457) * 1 * fAct(GAL11, 0.425029096892104, 1.20581239332678)) * 1 * fAct(MCM1, 0.5447593934834, 1.59338328135433)) - (1 - 1 * fAct(TUP1, 0.539924246026203, 1.1625520912488)) * ((1 * fAct(ALPHA1, 0.462457506032661, 1.11583954026457) * 1 * fAct(GAL11, 0.425029096892104, 1.20581239332678)) * 1 * fAct(MCM1, 0.5447593934834, 1.59338328135433)))) * 1 - 1 * MFALPHA1) / 1"
"STE3","(((1 * fAct(SNF2_SWI1, 0.563162870937958, 1.20030735276407) * (1 * fAct(ALPHA1, 0.45691219959408, 1.30769990705187) * 1 * fAct(MCM1, 0.417987412633374, 1.37917480430566)))) * 1 - 1 * STE3) / 1"
"STE6","((((1 * fAct(STE12, 0.599617102136836, 1.56408754996024) * ((((1 * fAct(MCM1, 0.493227393040434, 1.4494396988675) * 1 * fAct(PDR1, 0.456099186697975, 1.48339810196776)) * 1 * fAct(SDS3, 0.473195994552225, 1.26191979848314)) * 1 * fAct(SIN3, 0.400629311427474, 1.34780903369421)) * 1 * fAct(SWI1, 0.406380826886743, 1.14605847378727))) * ((1 - 1 * fAct(ALPHA2, 0.548899563634768, 1.0736488183029)) + (1 - 1 * fAct(TUP1, 0.502671726420522, 1.07260924851522)) - (1 - 1 * fAct(ALPHA2, 0.548899563634768, 1.0736488183029)) * (1 - 1 * fAct(TUP1, 0.502671726420522, 1.07260924851522))))) * 1 - 1 * STE6) / 1"
"ARO10","((1 * fAct(ARO80, 0.557656873762608, 1.52294733553426)) * 1 - 1 * ARO10) / 1"
"ARO9","((1 * fAct(ARO80, 0.421650197170675, 1.34870033540996)) * 1 - 1 * ARO9) / 1"
"MUC1","(((1 * fAct(STE12, 0.572052156087011, 1.02604287839727) * (((1 * fAct(ASH1, 0.467978414287791, 1.08592710595112) * 1 * fAct(FLO8, 0.502606087410822, 1.10457277541747)) * 1 * fAct(MSN1, 0.590311227506027, 1.65437923123594)) * 1 * fAct(TEC1, 0.482929155370221, 1.5258178362716)))) * 1 - 1 * MUC1) / 1"
"ADE12","((1 * fAct(BAS1, 0.589345778990537, 1.1149595809821)) * 1 - 1 * ADE12) / 1"
"ADE3","((1 * fAct(BAS1, 0.401973430812359, 1.3183760460373)) * 1 - 1 * ADE3) / 1"
"ADE4","(((1 * fAct(GCN4, 0.513834229344502, 1.11356793774059) * 1 * fAct(BAS1, 0.556992263859138, 1.59707330558915))) * 1 - 1 * ADE4) / 1"
"ADE6","((1 * fAct(BAS1, 0.456691816728562, 1.33904827009188)) * 1 - 1 * ADE6) / 1"
"HIS6","((1 * fAct(BAS1, 0.445842195907608, 1.55949919639854)) * 1 - 1 * HIS6) / 1"
"FKS1","(((1 * fAct(CAF4, 0.499655041005462, 1.14375046404777) * 1 * fAct(CAF16, 0.437791116256267, 1.39329632909503))) * 1 - 1 * FKS1) / 1"
