"node","eqn"
"A1_ALPHA2","((1 * fAct(GAL11, 0.525046732183546, 1.2941417888226)) * 1 - 1 * A1_ALPHA2) / 1"
"ABF1","input gene"
"ACE2","input gene"
"ADR1","input gene"
"ALPHA1","((((1 - 1 * fAct(TUP1, 0.523148292303085, 1.27821265333332)) + (1 * fAct(GAL11, 0.520553044276312, 1.23839976177085) * 1 * fAct(SNF2_SWI1, 0.416566643957049, 1.63448252248112)) - (1 - 1 * fAct(TUP1, 0.523148292303085, 1.27821265333332)) * (1 * fAct(GAL11, 0.520553044276312, 1.23839976177085) * 1 * fAct(SNF2_SWI1, 0.416566643957049, 1.63448252248112)))) * 1 - 1 * ALPHA1) / 1"
"ALPHA2","((1 * fAct(GAL11, 0.503069751663134, 1.47460213572718)) * 1 - 1 * ALPHA2) / 1"
"ARO80","input gene"
"ASH1","((1 * fAct(SWI5, 0.471570467948914, 1.40768659671303)) * 1 - 1 * ASH1) / 1"
"BAS1","input gene"
"CAF16","input gene"
"CAF4","input gene"
"CAT8","((((1 - 1 * fAct(MIG1, 0.569034833135083, 1.31304877203424)) + (1 - 1 * fAct(MIG2, 0.561586325103417, 1.31105400042143)) - (1 - 1 * fAct(MIG1, 0.569034833135083, 1.31304877203424)) * (1 - 1 * fAct(MIG2, 0.561586325103417, 1.31105400042143)))) * 1 - 1 * CAT8) / 1"
"CBF1","input gene"
"CCR4","(((1 - 1 * fAct(SPT6, 0.552182829473168, 1.20547593214549))) * 1 - 1 * CCR4) / 1"
"CDC36","input gene"
"CDC39","input gene"
"CDC50","input gene"
"CHA4","input gene"
"CIN5","input gene"
"CRZ1","input gene"
"CUP2","input gene"
"CUP9","input gene"
"DAL80","((((1 * fAct(GLN3, 0.583622717810795, 1.23157467320096) * 1 * fAct(GAT1, 0.598624970018864, 1.52655270230956)) * (1 - 1 * fAct(DAL80_GZF3, 0.459638241492212, 1.46146833522478)))) * 1 - 1 * DAL80) / 1"
"DAL80_GZF3","(((1 * fAct(GLN3, 0.492236640723422, 1.25788816108136) * 1 * fAct(GAT1, 0.553259889828041, 1.18834953665035))) * 1 - 1 * DAL80_GZF3) / 1"
"DAL81","input gene"
"FKH2","input gene"
"FLO8","input gene"
"FZF1","input gene"
"GAL11","input gene"
"GAL4","(((1 - 1 * fAct(MIG1, 0.457999665895477, 1.55015069579938))) * 1 - 1 * GAL4) / 1"
"GAT1","(((1 * fAct(GLN3, 0.4147178939078, 1.36243646985386) * (1 - 1 * fAct(DAL80, 0.59606289146468, 1.64565324534429)))) * 1 - 1 * GAT1) / 1"
"GCN4","input gene"
"GCR1","input gene"
"GIS1","input gene"
"GLN3","input gene"
"HAL9","input gene"
"HAP1","input gene"
"HAP2","(((1 - 1 * fAct(MIG1, 0.581455765105784, 1.27115263974294))) * 1 - 1 * HAP2) / 1"
"HAP3","input gene"
"HAP4","((((1 - 1 * fAct(MIG1, 0.541897602239624, 1.03062940163771)) + 1 * fAct(SNF2_SWI1, 0.561568697867915, 1.45214087006636) - (1 - 1 * fAct(MIG1, 0.541897602239624, 1.03062940163771)) * 1 * fAct(SNF2_SWI1, 0.561568697867915, 1.45214087006636))) * 1 - 1 * HAP4) / 1"
"HDA1","input gene"
"HSF1","(((1 - 1 * fAct(UME6, 0.441160236019641, 1.51634818601189))) * 1 - 1 * HSF1) / 1"
