gene,h_cent
ARMC8,0
ARMC9,0
ARMCX6,0
ARNTL,0
ARNTL2,0
ARPC1B,0
ARPC2,0
ARPC5,0
ARPC5L,0
ARRB2,0
ARSJ,0
ART3,0
ARTN,0
ASAH1,0
ASAP1,0
ASAP2,0
ASB13,0
ASB7,0
ASCC1,0
ASCC2,0
ASF1A,0
ASH1L,0
ASIC1,0
ASPA,0
ASPH,0
ASPN,0
ASS1,0
ASTE1,0
ASTN1,0
ASTN2,0
ASXL2,0
ATAD2,0
ATF2,0
ATF3,0
ATF7,0
ATF7IP2,0
ATG12,0
ATG13,0
ATG14,0
ATG16L1,0
ATG5,0
ATG7,0
ATG9A,0
ATM,0
ATMIN,0
ATOX1,0
ATP10A,0
ATP10D,0
ATP11B,0
ATP1A1,0
ATP1A3 /// LOC101927137,0
ATP1B1,0
ATP1B3,0
ATP2A2,0
ATP2B4,0
ATP2C1,0
ATP2C2,0
ATP5S,0
ATP6AP1,0
ATP6V0A1,0
ATP6V0A4,0
ATP6V0B,0
ATP6V0D1,0
ATP6V0E2,0
ATP6V1D,0
ATP6V1H,0
ATP7B,0
ATP8A2,0
ATP8B2,0
ATP8B4,0
ATP9B,0
ATR,0
ATRX,0
ATXN1,0
ATXN10,0
ATXN2,0
ATXN2L,0
ATXN3,0
ATXN7,0
ATXN7L1,0
ATXN7L3B,0
AUNIP,0
AURKA,0
AURKB,0
AUTS2,0
AVIL,0
AVL9,0
AXL,0
AZGP1,0
AZI2,0
AZIN1,0
B3GAT3,0
B4GALNT1,0
BAALC,0
BACE2,0
BACH1,0
BACH2,0
BAG1,0
BAG3,0
BAHCC1,0
BAIAP2,0
BATF,0
BAZ1A,0
BAZ1B,0
BAZ2A,0
BAZ2B,0
BBC3 /// MIR3190 /// MIR3191,0
BBS10,0
BBS4,0
BBS9,0
BBX,0
BCAM,0
BCAR3,0
BCAS1,0
BCAS2,0
BCAS3,0
BCAT1,0
BCAT2,0
BCKDHA,0
BCKDHB,0
BCL11A,0
BCL11B,0
BCL2,0
BCL2L1,0
BCL2L13,0
BCL2L2,0
BCL2L2-PABPN1 /// PABPN1,0
BCL3 /// MIR8085,0
BCL7C,0
BCL9,0
BCLAF1,0
BCOR,0
BCORL1,0
BCR,0
BDKRB1,0
BECN1,0
BET1,0
BFSP1,0
BFSP2,0
BHLHE41,0
BIRC7,0
BLCAP,0
BLM,0
BLNK,0
BLOC1S1,0
BLOC1S5-TXNDC5 /// TXNDC5,0
BLVRA,0
BLZF1,0
BMI1 /// COMMD3-BMI1,0
BMP2,0
BMP4,0
BMP7,0
BMPR1B,0
BMPR2,0
BNIP1,0
BNIP3L,0
BOLA1,0
BORA,0
BPGM,0
BPHL,0
BPI /// LOC149684,0
BPNT1,0
BPTF,0
BRAF /// KIAA1549,0
BRCA2,0
BRD4,0
BRD7,0
BRD8,0
BRF1,0
BRINP1,0
BRIP1,0
BRMS1,0
BRPF1,0
BRWD1,0
BSDC1,0
BTD,0
BTN2A2,0
BTN2A3P,0
BTN3A1,0
BTN3A3,0
BUB1,0
BUD31,0
BZW1,0
BZW2,0
C11orf49,0
C11orf58,0
C11orf80,0
C12orf10,0
C12orf29,0
C12orf4,0
C12orf43,0
C14orf93,0
C16orf58,0
C16orf70,0
C16orf95,0
C17orf62,0
C17orf80,0
C19orf54,0
C19orf57,0
C19orf66,0
C1D,0
C1GALT1,0
C1GALT1C1,0
C1QBP,0
C1QTNF1,0
C1R,0
C1orf109,0
C1orf112,0
C1orf123,0
C1orf216,0
C1orf54,0
C21orf2,0
C21orf91,0
C2CD2,0
C2CD2L,0
C2CD3,0
C2CD5,0
C2orf54,0
C3,0
C3orf14,0
C4BPA,0
C4BPB,0
C5orf15,0
C5orf22,0
C5orf30,0
C6orf106,0
C7,0
C7orf25 /// PSMA2,0
C7orf26,0
C7orf49,0
