id,timepoint,cell_type
cell_1357,6,regular
cell_1358,7,regular
cell_1359,8,regular
cell_1360,9,regular
cell_1361,0,regular
cell_1362,1,regular
cell_1363,2,regular
cell_1364,3,regular
cell_1365,4,regular
cell_1366,5,regular
cell_1367,6,regular
cell_1368,7,regular
cell_1369,8,regular
cell_1370,9,regular
cell_1371,0,regular
cell_1372,1,regular
cell_1373,2,regular
cell_1374,3,regular
cell_1375,4,regular
cell_1376,5,regular
cell_1377,6,regular
cell_1378,7,regular
cell_1379,8,regular
cell_1380,9,regular
cell_1381,0,regular
cell_1382,1,regular
cell_1383,2,regular
cell_1384,3,regular
cell_1385,4,regular
cell_1386,5,regular
cell_1387,6,regular
cell_1388,7,regular
cell_1389,8,regular
cell_1390,9,regular
cell_1391,0,regular
cell_1392,1,regular
cell_1393,2,regular
cell_1394,3,regular
cell_1395,4,regular
cell_1396,5,regular
cell_1397,6,regular
cell_1398,7,regular
cell_1399,8,regular
cell_1400,9,regular
cell_1401,0,regular
cell_1402,1,regular
cell_1403,2,regular
cell_1404,3,regular
cell_1405,4,regular
cell_1406,5,regular
cell_1407,6,regular
cell_1408,7,regular
cell_1409,8,regular
cell_1410,9,regular
cell_1411,0,regular
cell_1412,1,regular
cell_1413,2,regular
cell_1414,3,regular
cell_1415,4,regular
cell_1416,5,regular
cell_1417,6,regular
cell_1418,7,regular
cell_1419,8,regular
cell_1420,9,regular
cell_1421,0,regular
cell_1422,1,regular
cell_1423,2,regular
cell_1424,3,regular
cell_1425,4,regular
cell_1426,5,regular
cell_1427,6,regular
cell_1428,7,regular
cell_1429,8,regular
cell_1430,9,regular
cell_1431,0,regular
cell_1432,1,regular
cell_1433,2,regular
cell_1434,3,regular
cell_1435,4,regular
cell_1436,5,regular
cell_1437,6,regular
cell_1438,7,regular
cell_1439,8,regular
cell_1440,9,regular
cell_1441,0,regular
cell_1442,1,regular
cell_1443,2,regular
cell_1444,3,regular
cell_1445,4,regular
cell_1446,5,regular
cell_1447,6,regular
cell_1448,7,regular
cell_1449,8,regular
cell_1450,9,regular
cell_1451,0,regular
cell_1452,1,regular
cell_1453,2,regular
cell_1454,3,regular
cell_1455,4,regular
cell_1456,5,regular
cell_1457,6,regular
cell_1458,7,regular
cell_1459,8,regular
cell_1460,9,regular
cell_1461,0,regular
cell_1462,1,regular
cell_1463,2,regular
cell_1464,3,regular
cell_1465,4,regular
cell_1466,5,regular
cell_1467,6,regular
cell_1468,7,regular
cell_1469,8,regular
cell_1470,9,regular
cell_1471,0,regular
cell_1472,1,regular
cell_1473,2,regular
cell_1474,3,regular
cell_1475,4,regular
cell_1476,5,regular
cell_1477,6,regular
cell_1478,7,regular
cell_1479,8,regular
cell_1480,9,regular
cell_1481,0,regular
cell_1482,1,regular
cell_1483,2,regular
cell_1484,3,regular
cell_1485,4,regular
cell_1486,5,regular
cell_1487,6,regular
cell_1488,7,regular
cell_1489,8,regular
cell_1490,9,regular
cell_1491,0,regular
cell_1492,1,regular
cell_1493,2,regular
cell_1494,3,regular
cell_1495,4,regular
cell_1496,5,regular
cell_1497,6,regular
cell_1498,7,regular
cell_1499,8,regular
cell_1500,9,regular
